Player,;5000,;5000,;0,;0,;b,;y,;1,;0,;,;
0,;LOS,;x,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;
0,;Cupboard under the Stairs,;p,;600,;20,;100,;300,;900,;1600,;2500,;0,;0,;500,;500,;500,;500,;
0,;Shrieking Shack,;p,;600,;40,;200,;600,;1800,;3200,;4500,;0,;0,;500,;500,;500,;500,;
0,;Aktionskarte,;x,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;
0,;Hagrid's Hut,;h,;1000,;60,;300,;900,;2700,;4000,;5500,;0,;0,;500,;500,;500,;500,;
0,;Hog's Head Inn,;h,;1000,;60,;300,;9002,;2700,;4000,;5500,;0,;0,;500,;500,;500,;500,;
0,;Honey Dukes,;h,;1200,;80,;400,;1000,;3000,;4500,;6000,;0,;0,;500,;500,;500,;500,;
0,;GO TO ASKABAN,;x,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;
0,;The Burrow,;b,;1400,;100,;500,;1500,;4500,;6250,;7500,;0,;0,;1000,;1000,;1000,;1000,;
0,;The Leaky Cauldron,;b,;1400,;100,;500,;1500,;4500,;6250,;7500,;0,;0,;1000,;1000,;1000,;1000,;
0,;Quidditch Pitch,;b,;1600,;120,;600,;1800,;5000,;7000,;9000,;0,;0,;1000,;1000,;1000,;1000,;
0,;Aktionskarte,;x,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;
0,;Acanthia Way,;o,;1800,;140,;700,;2000,;5500,;7500,;9500,;0,;0,;1000,;1000,;1000,;1000,;
0,;Diagon Alley,;o,;1800,;140,;700,;2000,;5500,;7500,;9500,;0,;0,;1000,;1000,;1000,;1000,;
0,;Knockturn Alley,;o,;2000,;160,;800,;2200,;6000,;8000,;10000,;0,;0,;1500,;1500,;1500,;1500,;
0,;Spinners End,;r,;2200,;180,;900,;2500,;7000,;8750,;10500,;0,;0,;1500,;1500,;1500,;1500,;
0,;Brockdale Bridge,;r,;2200,;180,;900,;2500,;7000,;8750,;10500,;0,;0,;1500,;1500,;1500,;1500,;
0,;Privet Street,;r,;2400,;200,;1000,;3000,;7500,;9250,;11000,;0,;0,;1500,;1500,;1500,;1500,;
0,;Aktionskarte,;x,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;
0,;Forest of Dean,;y,;2600,;220,;1100,;3300,;8000,;9750,;11500,;0,;0,;1500,;1500,;1500,;1500,;
0,;Godrics Hollow,;y,;2600,;220,;1100,;3300,;8000,;9750,;11500,;0,;0,;1500,;1500,;1500,;1500,;
0,;Grimmauld Place,;y,;2800,;220,;1200,;3600,;8500,;10250,;12000,;0,;0,;1500,;1500,;1500,;1500,;
0,;ASKABAN,;x,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;
0,;Zonkos Joke Shop,;g,;3000,;260,;1300,;3900,;9000,;11000,;12750,;0,;0,;2000,;2000,;2000,;2000,;
0,;Honeyduke's Sweetshop,;g,;3000,;260,;1300,;3900,;9000,;11000,;12750,;0,;0,;2000,;2000,;2000,;2000,;
0,;The Tower of Astronomy,;g,;3200,;280,;1500,;4500,;10000,;12000,;14000,;0,;0,;2000,;2000,;2000,;2000,;
0,;Aktionskarte,;x,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;0,;
0,;Forbidden Forest,;i,;3500,;350,;1750,;5000,;11000,;13000,;15000,;0,;0,;2000,;2000,;2000,;2000,;
0,;Dumbledores Office,;i,;4000,;500,;2000,;6000,;14000,;17000,;20000,;0,;0,;2000,;2000,;2000,;2000,;
